tempo,setpoint,atual,velocidade
21.877,20.000000,11.840000,100.000000
22.092,20.000000,12.640000,100.000000
22.345,20.000000,12.570000,100.000000
22.639,20.000000,12.370000,100.000000
22.871,20.000000,11.980000,32.730000
23.150,20.000000,11.910000,100.000000
23.362,20.000000,12.840000,100.000000
23.652,20.000000,12.110000,100.000000
23.879,20.000000,11.810000,100.000000
24.175,20.000000,10.940000,100.000000
24.379,20.000000,10.740000,100.000000
24.680,20.000000,13.520000,-100.000000
24.889,20.000000,13.040000,100.000000
25.169,20.000000,12.540000,100.000000
25.441,20.000000,12.360000,100.000000
25.655,20.000000,12.240000,100.000000
25.949,20.000000,12.350000,100.000000
26.178,20.000000,12.700000,100.000000
26.443,20.000000,12.970000,43.370000
26.699,20.000000,12.900000,100.000000
26.936,20.000000,12.700000,100.000000
27.182,20.000000,12.790000,100.000000
27.477,20.000000,13.540000,100.000000
27.693,20.000000,14.270000,30.370000
28.007,20.000000,14.270000,100.000000
28.208,20.000000,11.830000,100.000000
28.501,20.000000,11.430000,100.000000
28.743,20.000000,11.670000,100.000000
28.993,20.000000,12.170000,100.000000
29.233,20.000000,12.300000,100.000000
29.500,20.000000,12.400000,100.000000
29.762,20.000000,11.980000,100.000000
30.000,20.000000,11.950000,79.310000
30.288,20.000000,11.980000,100.000000
30.503,20.000000,12.030000,100.000000
30.753,20.000000,11.560000,100.000000
31.018,20.000000,10.880000,100.000000
31.331,20.000000,10.750000,100.000000
31.529,20.000000,11.090000,51.910000
31.808,20.000000,11.910000,100.000000
32.061,20.000000,12.030000,100.000000
32.277,20.000000,12.340000,100.000000
32.549,20.000000,12.440000,96.670000
32.782,20.000000,12.350000,100.000000
33.051,20.000000,12.490000,100.000000
33.287,20.000000,12.930000,100.000000
33.591,20.000000,12.760000,100.000000
33.816,20.000000,12.520000,100.000000
34.086,20.000000,11.980000,100.000000
34.365,20.000000,11.220000,100.000000
34.575,20.000000,12.040000,-94.790000
34.814,20.000000,12.740000,-55.520000
35.113,20.000000,12.790000,100.000000
35.335,20.000000,12.160000,100.000000
35.650,20.000000,12.420000,100.000000
35.859,20.000000,12.630000,100.000000
36.093,20.000000,12.910000,100.000000
36.386,20.000000,12.910000,100.000000
36.598,20.000000,12.920000,100.000000
36.892,20.000000,12.790000,100.000000
37.129,20.000000,12.910000,100.000000
37.364,20.000000,12.930000,100.000000
37.686,20.000000,12.910000,100.000000
37.886,20.000000,12.900000,100.000000
38.195,20.000000,12.930000,100.000000
38.386,20.000000,12.900000,100.000000
38.706,20.000000,13.200000,100.000000
39.000,20.000000,12.910000,100.000000
39.194,20.000000,12.910000,100.000000
39.431,20.000000,12.910000,100.000000
39.778,20.000000,12.920000,100.000000
40.020,20.000000,12.910000,100.000000
40.231,20.000000,12.930000,100.000000
40.457,20.000000,12.900000,100.000000
40.702,20.000000,12.910000,100.000000
40.959,20.000000,12.900000,100.000000
41.190,20.000000,12.920000,100.000000
41.507,20.000000,12.900000,100.000000
41.724,20.000000,12.930000,100.000000
41.995,20.000000,12.900000,100.000000
42.223,20.000000,12.910000,100.000000
