tempo,setpoint,atual,velocidade
56.562,56.646000,10.000000,9.710000
56.724,56.773000,10.000000,9.710000
56.849,56.900000,10.000000,9.710000
56.945,57.027000,10.000000,9.710000
57.109,57.154000,10.000000,9.710000
57.230,57.281000,10.000000,9.710000
57.343,57.408000,10.000000,9.710000
57.470,57.535000,10.000000,9.710000
57.582,57.662000,10.000000,9.710000
57.709,57.789000,10.000000,9.710000
57.858,57.916000,10.000000,9.710000
57.971,58.043000,10.000000,9.710000
58.092,58.170000,10.000000,9.710000
58.240,58.297000,10.000000,9.710000
